Maps,Lead Título,Nome da empresa,Nome,Nota,Numero de avaliações,telefone com DDD,site,Nicho,Tag
https://www.google.com/maps/search/?api=1&query=Pizzaria%20Guarani%20(Unidade%201)&query_place_id=ChIJy5jkzbCapgARY40H6c7hN30,Pizzaria Guarani (Unidade 1),Pizzaria Guarani (Unidade 1),Pizzaria Guarani (Unidade 1),4.5,26566,+55 31 3408-0000,https://www.pizzariaguarani.com.br/,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=Tudo%20na%20Brasa&query_place_id=ChIJWx1h9UqRpgARg6VjfW_Bj-Q,Tudo na Brasa,Tudo na Brasa,Tudo na Brasa,4.6,19045,+55 31 3471-0222,http://www.tudonabrasa.com.br/,Restaurante de carne,PIZZA
https://www.google.com/maps/search/?api=1&query=Donna%20Margherita&query_place_id=ChIJTbIJTOmZpgARYx18eafboV0,Donna Margherita,Donna Margherita,Donna Margherita,4.4,10274,+55 31 3224-6179,http://www.donnamargheritadelivery.com.br/,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=Nashy%20Sushi%20BH&query_place_id=ChIJNRSm-t6ZpgARWHw_yLf6-I8,Nashy Sushi BH,Nashy Sushi BH,Nashy Sushi BH,4.7,7698,+55 31 3318-2249,https://www.nashysushi.com/,Restaurante japonês,JAPONÊS
https://www.google.com/maps/search/?api=1&query=Nashy%20Sushi%20Prime&query_place_id=ChIJ5erlmkGZpgARwleCIubKRRI,Nashy Sushi Prime,Nashy Sushi Prime,Nashy Sushi Prime,4.9,7543,+55 31 3347-6038,https://www.nashysushi.com/,Restaurante japonês,JAPONÊS
https://www.google.com/maps/search/?api=1&query=Nashy%20Sushi%20Prime%20Savassi&query_place_id=ChIJlXstBZ6ZpgARemNvGbzpLMI,Nashy Sushi Prime Savassi,Nashy Sushi Prime Savassi,Nashy Sushi Prime Savassi,4.8,6126,+55 31 3243-3835,https://www.nashysushi.com/,Restaurante japonês,JAPONÊS
https://www.google.com/maps/search/?api=1&query=Parada%20do%20Cardoso%20-%20Santa%20Tereza&query_place_id=ChIJxWaEbymapgARFvRcXbuenDg,Parada do Cardoso - Santa Tereza,Parada do Cardoso - Santa Tereza,Parada do Cardoso - Santa Tereza,4.6,5768,+55 31 3461-4798,,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=Pizzarella&query_place_id=ChIJ0Q5dYmOXpgARSTrl3MFm024,Pizzarella,Pizzarella,Pizzarella,4.4,5632,+55 31 3292-3000,https://instagram.com/pizzarellalourdes?utm_medium=copy_link,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=Pizzaria%20Ponte%20Furada&query_place_id=ChIJUQvtoXaapgARkduF58C4jN8,Pizzaria Ponte Furada,Pizzaria Ponte Furada,Pizzaria Ponte Furada,4.4,5136,+55 31 3421-6501,http://www.pizzariapontefurada.com.br/https://pizzariapontefurada.com.br/cardapio/,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=Yakan&query_place_id=ChIJNYmxsPeZpgARS_lAUcErAFI,Yakan,Yakan,Yakan,4.7,5110,+55 31 3024-4539,http://www.yakan.com.br/,Restaurante japonês,JAPONÊS
