titulo,tag,categoria,nota,avaliacoes,telefone,site,instagram,email,endereco,bairro,maps_url
Pizzaria Guarani (Unidade 1),PIZZA,Pizzaria,4.5,26566,+55 31 3408-0000,https://www.pizzariaguarani.com.br/,https://www.instagram.com/pizzariaguarani,,"Av. Waldomiro Lobo, 1180 - Guarani, Belo Horizonte - MG, 31814-620, Brasil",Guarani,https://www.google.com/maps/search/?api=1&query=Pizzaria%20Guarani%20(Unidade%201)&query_place_id=ChIJy5jkzbCapgARY40H6c7hN30
Tudo na Brasa,PIZZA,Restaurante de carne,4.6,19045,+55 31 3471-0222,http://www.tudonabrasa.com.br/,,,"Av. dos Engenheiros, 1104 - Castelo, Belo Horizonte - MG, 30840-300, Brasil",Castelo,https://www.google.com/maps/search/?api=1&query=Tudo%20na%20Brasa&query_place_id=ChIJWx1h9UqRpgARg6VjfW_Bj-Q
Donna Margherita,PIZZA,Pizzaria,4.4,10274,+55 31 3224-6179,http://www.donnamargheritadelivery.com.br/,,,"Av. Carandaí, 840 - Funcionários, Belo Horizonte - MG, 30130-060, Brasil",Funcionários,https://www.google.com/maps/search/?api=1&query=Donna%20Margherita&query_place_id=ChIJTbIJTOmZpgARYx18eafboV0
Nashy Sushi BH,JAPONÊS,Restaurante japonês,4.7,7698,+55 31 3318-2249,https://www.nashysushi.com/,https://www.instagram.com/nashysushi_oficial,,"R. Espírito Santo, 1972 - Lourdes, Belo Horizonte - MG, 30160-032, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Nashy%20Sushi%20BH&query_place_id=ChIJNRSm-t6ZpgARWHw_yLf6-I8
Nashy Sushi Prime,JAPONÊS,Restaurante japonês,4.9,7543,+55 31 3347-6038,https://www.nashysushi.com/,https://www.instagram.com/nashysushi_oficial,,"R. Irmão Gonçalves Xavier, 46 - São Pedro, Belo Horizonte - MG, 30330-030, Brasil",São Pedro,https://www.google.com/maps/search/?api=1&query=Nashy%20Sushi%20Prime&query_place_id=ChIJ5erlmkGZpgARwleCIubKRRI
Nashy Sushi Prime Savassi,JAPONÊS,Restaurante japonês,4.8,6126,+55 31 3243-3835,https://www.nashysushi.com/,https://www.instagram.com/nashysushi_oficial,,"Av. Getúlio Vargas, 900 - Savassi, Belo Horizonte - MG, 30112-021, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=Nashy%20Sushi%20Prime%20Savassi&query_place_id=ChIJlXstBZ6ZpgARemNvGbzpLMI
Parada do Cardoso - Santa Tereza,PIZZA,Pizzaria,4.6,5768,+55 31 3461-4798,,,,"R. Dores do Indaiá, 409 - Santa Tereza, Belo Horizonte - MG, 31010-360, Brasil",Santa Tereza,https://www.google.com/maps/search/?api=1&query=Parada%20do%20Cardoso%20-%20Santa%20Tereza&query_place_id=ChIJxWaEbymapgARFvRcXbuenDg
Pizzarella,PIZZA,Pizzaria,4.4,5632,+55 31 3292-3000,https://instagram.com/pizzarellalourdes?utm_medium=copy_link,,,"Av. Olegário Maciel, 2280 - Santo Agostinho, Belo Horizonte - MG, 30180-111, Brasil",Santo Agostinho,https://www.google.com/maps/search/?api=1&query=Pizzarella&query_place_id=ChIJ0Q5dYmOXpgARSTrl3MFm024
Pizzaria Ponte Furada,PIZZA,Pizzaria,4.4,5136,+55 31 3421-6501,http://www.pizzariapontefurada.com.br/https://pizzariapontefurada.com.br/cardapio/,https://www.instagram.com/pizzariapontefurada,pontefurada@ig.com.br,"Av. Clara Nunes, 437 - Renascença, Belo Horizonte - MG, 31160-680, Brasil",Renascença,https://www.google.com/maps/search/?api=1&query=Pizzaria%20Ponte%20Furada&query_place_id=ChIJUQvtoXaapgARkduF58C4jN8
Yakan,JAPONÊS,Restaurante japonês,4.7,5110,+55 31 3024-4539,http://www.yakan.com.br/,https://www.instagram.com/yakanbh,,"Av. do Contorno, 5761 - Savassi, Belo Horizonte - MG, 30110-035, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=Yakan&query_place_id=ChIJNYmxsPeZpgARS_lAUcErAFI
Meatz Burger - Cidade Nova - Hamburgueria,BURGER,Hamburgueria,4.9,5061,+55 31 98403-9989,https://meatzburger.com/unidades/hamburgueria-cidade-nova-bh-mg/,https://www.instagram.com/meatzburger,,"R. Alberto Cintra, 452 - União, Belo Horizonte - MG, 31160-370, Brasil",União,https://www.google.com/maps/search/?api=1&query=Meatz%20Burger%20-%20Cidade%20Nova%20-%20Hamburgueria&query_place_id=ChIJR0IZDdObpgAR7X7ZL0BJNJo
Nuboa Sushi - Restaurante e Comida Japonesa em BH,PIZZA,Restaurante japonês,4.6,4860,+55 31 99995-4004,https://nuboasushi.com.br/,,contato@nuboasushi.com.br,"R. Borges, 285 - Liberdade, Belo Horizonte - MG, 31270-150, Brasil",Liberdade,https://www.google.com/maps/search/?api=1&query=Nuboa%20Sushi%20-%20Restaurante%20e%20Comida%20Japonesa%20em%20BH&query_place_id=ChIJbQKn-r-RpgAR_mvYBJTWelI
Gastrô Hub - Restaurante e Espaço de Eventos,,Restaurante,4.8,4644,+55 31 2527-5858,https://www.instagram.com/gastrohub.bh/?hl=pt-br,https://www.instagram.com/gastrohub.bh/?hl=pt-br,,"Av. do Contorno, 4667 - Serra, Belo Horizonte - MG, 30220-040, Brasil",Serra,https://www.google.com/maps/search/?api=1&query=Gastr%C3%B4%20Hub%20-%20Restaurante%20e%20Espa%C3%A7o%20de%20Eventos&query_place_id=ChIJwRm9mo-ZpgAR-1v7Uj_uiMA
