Maps,Lead Título,Nome da empresa,Nome,Nota,Numero de avaliações,telefone com DDD,site,Nicho,Tag,Faixa,Cidade
https://www.google.com/maps/search/?api=1&query=Pizzaria%20Guarani%20(Unidade%201)&query_place_id=ChIJy5jkzbCapgARY40H6c7hN30,Pizzaria Guarani (Unidade 1),Pizzaria Guarani (Unidade 1),Pizzaria Guarani (Unidade 1),4.5,26566,+55 31 3408-0000,https://www.pizzariaguarani.com.br/,Pizzaria,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Tudo%20na%20Brasa&query_place_id=ChIJWx1h9UqRpgARg6VjfW_Bj-Q,Tudo na Brasa,Tudo na Brasa,Tudo na Brasa,4.6,19045,+55 31 3471-0222,http://www.tudonabrasa.com.br/,Restaurante de carne,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Donna%20Margherita&query_place_id=ChIJTbIJTOmZpgARYx18eafboV0,Donna Margherita,Donna Margherita,Donna Margherita,4.4,10274,+55 31 3224-6179,http://www.donnamargheritadelivery.com.br/,Pizzaria,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Nashy%20Sushi%20BH&query_place_id=ChIJNRSm-t6ZpgARWHw_yLf6-I8,Nashy Sushi BH,Nashy Sushi BH,Nashy Sushi BH,4.7,7698,+55 31 3318-2249,https://www.nashysushi.com/,Restaurante japonês,JAPONÊS,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Nashy%20Sushi%20Prime&query_place_id=ChIJ5erlmkGZpgARwleCIubKRRI,Nashy Sushi Prime,Nashy Sushi Prime,Nashy Sushi Prime,4.9,7543,+55 31 3347-6038,https://www.nashysushi.com/,Restaurante japonês,JAPONÊS,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Nashy%20Sushi%20Prime%20Savassi&query_place_id=ChIJlXstBZ6ZpgARemNvGbzpLMI,Nashy Sushi Prime Savassi,Nashy Sushi Prime Savassi,Nashy Sushi Prime Savassi,4.8,6126,+55 31 3243-3835,https://www.nashysushi.com/,Restaurante japonês,JAPONÊS,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Parada%20do%20Cardoso%20-%20Santa%20Tereza&query_place_id=ChIJxWaEbymapgARFvRcXbuenDg,Parada do Cardoso - Santa Tereza,Parada do Cardoso - Santa Tereza,Parada do Cardoso - Santa Tereza,4.6,5768,+55 31 3461-4798,,Pizzaria,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Pizzarella&query_place_id=ChIJ0Q5dYmOXpgARSTrl3MFm024,Pizzarella,Pizzarella,Pizzarella,4.4,5632,+55 31 3292-3000,https://instagram.com/pizzarellalourdes?utm_medium=copy_link,Pizzaria,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Pizzaria%20Ponte%20Furada&query_place_id=ChIJUQvtoXaapgARkduF58C4jN8,Pizzaria Ponte Furada,Pizzaria Ponte Furada,Pizzaria Ponte Furada,4.4,5136,+55 31 3421-6501,http://www.pizzariapontefurada.com.br/https://pizzariapontefurada.com.br/cardapio/,Pizzaria,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Yakan&query_place_id=ChIJNYmxsPeZpgARS_lAUcErAFI,Yakan,Yakan,Yakan,4.7,5110,+55 31 3024-4539,http://www.yakan.com.br/,Restaurante japonês,JAPONÊS,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Meatz%20Burger%20-%20Cidade%20Nova%20-%20Hamburgueria&query_place_id=ChIJR0IZDdObpgAR7X7ZL0BJNJo,Meatz Burger - Cidade Nova - Hamburgueria,Meatz Burger - Cidade Nova - Hamburgueria,Meatz Burger - Cidade Nova - Hamburgueria,4.9,5061,+55 31 98403-9989,https://meatzburger.com/unidades/hamburgueria-cidade-nova-bh-mg/,Hamburgueria,BURGER,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Nuboa%20Sushi%20-%20Restaurante%20e%20Comida%20Japonesa%20em%20BH&query_place_id=ChIJbQKn-r-RpgAR_mvYBJTWelI,Nuboa Sushi - Restaurante e Comida Japonesa em BH,Nuboa Sushi - Restaurante e Comida Japonesa em BH,Nuboa Sushi - Restaurante e Comida Japonesa em BH,4.6,4860,+55 31 99995-4004,https://nuboasushi.com.br/,Restaurante japonês,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Gastr%C3%B4%20Hub%20-%20Restaurante%20e%20Espa%C3%A7o%20de%20Eventos&query_place_id=ChIJwRm9mo-ZpgAR-1v7Uj_uiMA,Gastrô Hub - Restaurante e Espaço de Eventos,Gastrô Hub - Restaurante e Espaço de Eventos,Gastrô Hub - Restaurante e Espaço de Eventos,4.8,4644,+55 31 2527-5858,https://www.instagram.com/gastrohub.bh/?hl=pt-br,Restaurante,,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Cantina%20do%20Lucas&query_place_id=ChIJ280vAeSZpgARUkOpIqaZtv8,Cantina do Lucas,Cantina do Lucas,Cantina do Lucas,4.5,4397,+55 31 3226-7153,http://www.cantinadolucas.com.br/,Restaurante,,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Eddie%20Fine%20Burgers&query_place_id=ChIJlfq0f9eZpgAR7nWszwwFoKI,Eddie Fine Burgers,Eddie Fine Burgers,Eddie Fine Burgers,4.3,4329,+55 31 3282-4606,http://www.eddieburger.com.br/,Restaurante,BURGER,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Meatz%20Burger%20-%20Centro%20Sul%20-%20Hamburgueria&query_place_id=ChIJ5Xn1sn2XpgAR9EjE-hO8480,Meatz Burger - Centro Sul - Hamburgueria,Meatz Burger - Centro Sul - Hamburgueria,Meatz Burger - Centro Sul - Hamburgueria,4.6,3729,+55 31 98358-4780,https://meatzburger.com/unidades/hamburgueria-centro-sul-bh/,Hamburgueria,BURGER,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Dona%20Lucinha%20Restaurante&query_place_id=ChIJi4uTZNCZpgAR6xrAuwWhPu8,Dona Lucinha Restaurante,Dona Lucinha Restaurante,Dona Lucinha Restaurante,4.4,3635,+55 31 2127-0788,https://www.donalucinha.com.br/,Restaurante Mineiro,,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Dal%20Grano%20Restaurante%20e%20Pizzaria&query_place_id=ChIJz4U3-MWRpgARZ7RXLLttMk0,Dal Grano Restaurante e Pizzaria,Dal Grano Restaurante e Pizzaria,Dal Grano Restaurante e Pizzaria,4.7,3554,+55 31 3505-9240,,Restaurante italiano,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Macau&query_place_id=ChIJp3RBGmGXpgARTZWueitaSRE,Macau,Macau,Macau,4.6,3477,+55 31 3337-6193,http://macaudelivery.com.br/,Restaurante chinês,,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Pizzaria%20Mangabeiras%20Matriz&query_place_id=ChIJGS7g7YuZpgAR5CGYRbA8xWA,Pizzaria Mangabeiras Matriz,Pizzaria Mangabeiras Matriz,Pizzaria Mangabeiras Matriz,4.4,3399,+55 31 3211-1777,https://pizzariamangabeiras.com.br/,Pizzaria,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=68%20La%20Pizzeria&query_place_id=ChIJB8up9diZpgARxZ4yntRWMqw,68 La Pizzeria,68 La Pizzeria,68 La Pizzeria,4.4,3396,+55 31 3292-0208,http://www.meiaoito.com.br/,Pizzaria,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=James%20Burger%20-%20Hamb%C3%BArguer%20Artesanal%20na%20Savassi%20%7C%20Delivery%20de%20Hamb%C3%BArguer%20%7C%20Hamburgueria%20Perto%20de%20Voc%C3%AA%20%7C%20Hamburgueria%20em%20BH&query_place_id=ChIJVyv0t9uZpgAR2bSVTuVvOZ0,James Burger - Hambúrguer Artesanal na Savassi | Delivery de Hambúrguer | Hamburgueria Perto de Você | Hamburgueria em BH,James Burger - Hambúrguer Artesanal na Savassi | Delivery de Hambúrguer | Hamburgueria Perto de Você | Hamburgueria em BH,James Burger - Hambúrguer Artesanal na Savassi | Delivery de Hambúrguer | Hamburgueria Perto de Você | Hamburgueria em BH,4.6,3092,+55 31 99299-1800,http://www.jamesburguerbh.com.br/,Hamburgueria,BURGER,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Projeto%20Sabor%20S%C3%A3o%20Bento&query_place_id=ChIJPdBYEo-XpgARFF0xZPCGI_o,Projeto Sabor São Bento,Projeto Sabor São Bento,Projeto Sabor São Bento,4.6,3073,+55 31 3342-1373,https://www.projetosabor.com.br/,Restaurante,,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Pizzaria%20Oleg%C3%A1rio%20Lourdes&query_place_id=ChIJW64AGWGXpgARsOQRS5wkQjA,Pizzaria Olegário Lourdes,Pizzaria Olegário Lourdes,Pizzaria Olegário Lourdes,4.5,3053,+55 31 3337-4446,http://pizzariaolegario.com.br/,Pizzaria,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=VILA%20ARABE%20-%20SAVASSI&query_place_id=ChIJi79vytyZpgARJvHZAh9q9DY,VILA ARABE - SAVASSI,VILA ARABE - SAVASSI,VILA ARABE - SAVASSI,4.5,2774,+55 31 3262-1600,http://www.vilaarabe.com.br/,Restaurante libanês,,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Mustache%20Pizzaria%20no%20Lourdes&query_place_id=ChIJUaGuE-GZpgARSigq9hINDm8,Mustache Pizzaria no Lourdes,Mustache Pizzaria no Lourdes,Mustache Pizzaria no Lourdes,4.5,2656,+55 31 3245-7001,https://beacons.ai/mustachehandpizzabh,Pizzaria,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Pop%20Kid&query_place_id=ChIJnz4fquSZpgAR6Vc8uEQ_xI0,Pop Kid,Pop Kid,Pop Kid,4.7,2599,+55 31 3080-3715,https://popkidbar.com.br/,Bar,,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Bendito%20Japa%20%E2%80%93%20Rod%C3%ADzio%20Japon%C3%AAs%20Premium%20%7C%20Lourdes%20BH&query_place_id=ChIJe70jzsWXpgAREW0HImUn5Ws,Bendito Japa – Rodízio Japonês Premium | Lourdes BH,Bendito Japa – Rodízio Japonês Premium | Lourdes BH,Bendito Japa – Rodízio Japonês Premium | Lourdes BH,4.5,2582,+55 31 3141-2444,http://benditojapaoficial.com/,Restaurante japonês,JAPONÊS,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Domenico%20Pizzeria%20e%20Trattoria&query_place_id=ChIJ6__XtMOZpgARQ_9FypjhjrY,Domenico Pizzeria e Trattoria,Domenico Pizzeria e Trattoria,Domenico Pizzeria e Trattoria,4.6,2547,+55 31 3565-8385,http://domenicopizzeria.com.br/,Restaurante italiano,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Sushi%20Naka&query_place_id=ChIJuSeIF8CZpgAR3Xr5f79hUeg,Sushi Naka,Sushi Naka,Sushi Naka,4.5,2394,+55 31 3287-2714,http://instagram.com/sushinakabh,Restaurante japonês,JAPONÊS,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Second%20House%20-%20Pizzaria&query_place_id=ChIJaYKrZFCXpgARoYbOvB4RZ9w,Second House - Pizzaria,Second House - Pizzaria,Second House - Pizzaria,4.8,2240,+55 31 97199-4445,https://thesecondhouse.saipos.com/home,Pizzaria,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Dona%20Ful%C3%B4%20%7C%20BH&query_place_id=ChIJn0Z1Ft6XpgAR411-DAp0SQo,Dona Fulô | BH,Dona Fulô | BH,Dona Fulô | BH,4.8,2205,+55 31 2516-8973,,Restaurante,,A,Belo Horizonte
