titulo,tag,faixa,cidade,categoria,nota,avaliacoes,telefone,site,instagram,email,endereco,bairro,maps_url
Pizzaria Guarani (Unidade 1),PIZZA,A,Belo Horizonte,Pizzaria,4.5,26566,+55 31 3408-0000,https://www.pizzariaguarani.com.br/,https://www.instagram.com/pizzariaguarani,,"Av. Waldomiro Lobo, 1180 - Guarani, Belo Horizonte - MG, 31814-620, Brasil",Guarani,https://www.google.com/maps/search/?api=1&query=Pizzaria%20Guarani%20(Unidade%201)&query_place_id=ChIJy5jkzbCapgARY40H6c7hN30
Tudo na Brasa,PIZZA,A,Belo Horizonte,Restaurante de carne,4.6,19045,+55 31 3471-0222,http://www.tudonabrasa.com.br/,,,"Av. dos Engenheiros, 1104 - Castelo, Belo Horizonte - MG, 30840-300, Brasil",Castelo,https://www.google.com/maps/search/?api=1&query=Tudo%20na%20Brasa&query_place_id=ChIJWx1h9UqRpgARg6VjfW_Bj-Q
Donna Margherita,PIZZA,A,Belo Horizonte,Pizzaria,4.4,10274,+55 31 3224-6179,http://www.donnamargheritadelivery.com.br/,,,"Av. Carandaí, 840 - Funcionários, Belo Horizonte - MG, 30130-060, Brasil",Funcionários,https://www.google.com/maps/search/?api=1&query=Donna%20Margherita&query_place_id=ChIJTbIJTOmZpgARYx18eafboV0
Nashy Sushi BH,JAPONÊS,A,Belo Horizonte,Restaurante japonês,4.7,7698,+55 31 3318-2249,https://www.nashysushi.com/,https://www.instagram.com/nashysushi_oficial,,"R. Espírito Santo, 1972 - Lourdes, Belo Horizonte - MG, 30160-032, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Nashy%20Sushi%20BH&query_place_id=ChIJNRSm-t6ZpgARWHw_yLf6-I8
Nashy Sushi Prime,JAPONÊS,A,Belo Horizonte,Restaurante japonês,4.9,7543,+55 31 3347-6038,https://www.nashysushi.com/,https://www.instagram.com/nashysushi_oficial,,"R. Irmão Gonçalves Xavier, 46 - São Pedro, Belo Horizonte - MG, 30330-030, Brasil",São Pedro,https://www.google.com/maps/search/?api=1&query=Nashy%20Sushi%20Prime&query_place_id=ChIJ5erlmkGZpgARwleCIubKRRI
Nashy Sushi Prime Savassi,JAPONÊS,A,Belo Horizonte,Restaurante japonês,4.8,6126,+55 31 3243-3835,https://www.nashysushi.com/,https://www.instagram.com/nashysushi_oficial,,"Av. Getúlio Vargas, 900 - Savassi, Belo Horizonte - MG, 30112-021, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=Nashy%20Sushi%20Prime%20Savassi&query_place_id=ChIJlXstBZ6ZpgARemNvGbzpLMI
Parada do Cardoso - Santa Tereza,PIZZA,A,Belo Horizonte,Pizzaria,4.6,5768,+55 31 3461-4798,,,,"R. Dores do Indaiá, 409 - Santa Tereza, Belo Horizonte - MG, 31010-360, Brasil",Santa Tereza,https://www.google.com/maps/search/?api=1&query=Parada%20do%20Cardoso%20-%20Santa%20Tereza&query_place_id=ChIJxWaEbymapgARFvRcXbuenDg
Pizzarella,PIZZA,A,Belo Horizonte,Pizzaria,4.4,5632,+55 31 3292-3000,https://instagram.com/pizzarellalourdes?utm_medium=copy_link,,,"Av. Olegário Maciel, 2280 - Santo Agostinho, Belo Horizonte - MG, 30180-111, Brasil",Santo Agostinho,https://www.google.com/maps/search/?api=1&query=Pizzarella&query_place_id=ChIJ0Q5dYmOXpgARSTrl3MFm024
Pizzaria Ponte Furada,PIZZA,A,Belo Horizonte,Pizzaria,4.4,5136,+55 31 3421-6501,http://www.pizzariapontefurada.com.br/https://pizzariapontefurada.com.br/cardapio/,https://www.instagram.com/pizzariapontefurada,pontefurada@ig.com.br,"Av. Clara Nunes, 437 - Renascença, Belo Horizonte - MG, 31160-680, Brasil",Renascença,https://www.google.com/maps/search/?api=1&query=Pizzaria%20Ponte%20Furada&query_place_id=ChIJUQvtoXaapgARkduF58C4jN8
Yakan,JAPONÊS,A,Belo Horizonte,Restaurante japonês,4.7,5110,+55 31 3024-4539,http://www.yakan.com.br/,https://www.instagram.com/yakanbh,,"Av. do Contorno, 5761 - Savassi, Belo Horizonte - MG, 30110-035, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=Yakan&query_place_id=ChIJNYmxsPeZpgARS_lAUcErAFI
Meatz Burger - Cidade Nova - Hamburgueria,BURGER,A,Belo Horizonte,Hamburgueria,4.9,5061,+55 31 98403-9989,https://meatzburger.com/unidades/hamburgueria-cidade-nova-bh-mg/,https://www.instagram.com/meatzburger,,"R. Alberto Cintra, 452 - União, Belo Horizonte - MG, 31160-370, Brasil",União,https://www.google.com/maps/search/?api=1&query=Meatz%20Burger%20-%20Cidade%20Nova%20-%20Hamburgueria&query_place_id=ChIJR0IZDdObpgAR7X7ZL0BJNJo
Nuboa Sushi - Restaurante e Comida Japonesa em BH,PIZZA,A,Belo Horizonte,Restaurante japonês,4.6,4860,+55 31 99995-4004,https://nuboasushi.com.br/,,contato@nuboasushi.com.br,"R. Borges, 285 - Liberdade, Belo Horizonte - MG, 31270-150, Brasil",Liberdade,https://www.google.com/maps/search/?api=1&query=Nuboa%20Sushi%20-%20Restaurante%20e%20Comida%20Japonesa%20em%20BH&query_place_id=ChIJbQKn-r-RpgAR_mvYBJTWelI
Gastrô Hub - Restaurante e Espaço de Eventos,,A,Belo Horizonte,Restaurante,4.8,4644,+55 31 2527-5858,https://www.instagram.com/gastrohub.bh/?hl=pt-br,https://www.instagram.com/gastrohub.bh/?hl=pt-br,,"Av. do Contorno, 4667 - Serra, Belo Horizonte - MG, 30220-040, Brasil",Serra,https://www.google.com/maps/search/?api=1&query=Gastr%C3%B4%20Hub%20-%20Restaurante%20e%20Espa%C3%A7o%20de%20Eventos&query_place_id=ChIJwRm9mo-ZpgAR-1v7Uj_uiMA
Cantina do Lucas,,A,Belo Horizonte,Restaurante,4.5,4397,+55 31 3226-7153,http://www.cantinadolucas.com.br/,https://www.instagram.com/cantinadolucas,contato@cantinadolucas.com.br,"Av. Augusto de Lima, 233 - Loja 18/19 o9 - Centro, Belo Horizonte - MG, 30190-001, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Cantina%20do%20Lucas&query_place_id=ChIJ280vAeSZpgARUkOpIqaZtv8
Eddie Fine Burgers,BURGER,A,Belo Horizonte,Restaurante,4.3,4329,+55 31 3282-4606,http://www.eddieburger.com.br/,,,"R. da Bahia, 2652 - Lourdes, Belo Horizonte - MG, 30160-019, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Eddie%20Fine%20Burgers&query_place_id=ChIJlfq0f9eZpgAR7nWszwwFoKI
Meatz Burger - Centro Sul - Hamburgueria,BURGER,A,Belo Horizonte,Hamburgueria,4.6,3729,+55 31 98358-4780,https://meatzburger.com/unidades/hamburgueria-centro-sul-bh/,https://www.instagram.com/meatzburger,,"Av. Prudente de Morais, 559 - Santo Antônio, Belo Horizonte - MG, 30350-143, Brasil",Santo Antônio,https://www.google.com/maps/search/?api=1&query=Meatz%20Burger%20-%20Centro%20Sul%20-%20Hamburgueria&query_place_id=ChIJ5Xn1sn2XpgAR9EjE-hO8480
Dona Lucinha Restaurante,,A,Belo Horizonte,Restaurante Mineiro,4.4,3635,+55 31 2127-0788,https://www.donalucinha.com.br/,https://www.instagram.com/wix,donalucinha@donalucinha.com.br,"R. Padre Odorico, 38 - São Pedro, Belo Horizonte - MG, 30330-040, Brasil",São Pedro,https://www.google.com/maps/search/?api=1&query=Dona%20Lucinha%20Restaurante&query_place_id=ChIJi4uTZNCZpgAR6xrAuwWhPu8
Dal Grano Restaurante e Pizzaria,PIZZA,A,Belo Horizonte,Restaurante italiano,4.7,3554,+55 31 3505-9240,,,,"Av. Pres. Antônio Carlos, 7456 - Pampulha, Belo Horizonte - MG, 31270-672, Brasil",Pampulha,https://www.google.com/maps/search/?api=1&query=Dal%20Grano%20Restaurante%20e%20Pizzaria&query_place_id=ChIJz4U3-MWRpgARZ7RXLLttMk0
Macau,,A,Belo Horizonte,Restaurante chinês,4.6,3477,+55 31 3337-6193,http://macaudelivery.com.br/,,,"Av. Olegário Maciel, 1767 - Lourdes, Belo Horizonte - MG, 30180-111, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Macau&query_place_id=ChIJp3RBGmGXpgARTZWueitaSRE
Pizzaria Mangabeiras Matriz,PIZZA,A,Belo Horizonte,Pizzaria,4.4,3399,+55 31 3211-1777,https://pizzariamangabeiras.com.br/,https://www.instagram.com/pizzariamangabeiras,site@mangabeiras.com.br,"Av. Afonso Pena, 4200 - Mangabeiras, Belo Horizonte - MG, 30120-010, Brasil",Mangabeiras,https://www.google.com/maps/search/?api=1&query=Pizzaria%20Mangabeiras%20Matriz&query_place_id=ChIJGS7g7YuZpgAR5CGYRbA8xWA
68 La Pizzeria,PIZZA,A,Belo Horizonte,Pizzaria,4.4,3396,+55 31 3292-0208,http://www.meiaoito.com.br/,https://instagram.com/68lapizzeriabh,eventos@meiaoito.com.br,"R. Felipe dos Santos, 68 - Lourdes, Belo Horizonte - MG, 30180-160, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=68%20La%20Pizzeria&query_place_id=ChIJB8up9diZpgARxZ4yntRWMqw
James Burger - Hambúrguer Artesanal na Savassi | Delivery de Hambúrguer | Hamburgueria Perto de Você | Hamburgueria em BH,BURGER,A,Belo Horizonte,Hamburgueria,4.6,3092,+55 31 99299-1800,http://www.jamesburguerbh.com.br/,,,"R. Sergipe, 1091 - Savassi, Belo Horizonte - MG, 30130-171, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=James%20Burger%20-%20Hamb%C3%BArguer%20Artesanal%20na%20Savassi%20%7C%20Delivery%20de%20Hamb%C3%BArguer%20%7C%20Hamburgueria%20Perto%20de%20Voc%C3%AA%20%7C%20Hamburgueria%20em%20BH&query_place_id=ChIJVyv0t9uZpgAR2bSVTuVvOZ0
Projeto Sabor São Bento,,A,Belo Horizonte,Restaurante,4.6,3073,+55 31 3342-1373,https://www.projetosabor.com.br/,,,"Av. Cônsul Antônio Cadar, 127 - Santa Lúcia, Belo Horizonte - MG, 30360-082, Brasil",Santa Lúcia,https://www.google.com/maps/search/?api=1&query=Projeto%20Sabor%20S%C3%A3o%20Bento&query_place_id=ChIJPdBYEo-XpgARFF0xZPCGI_o
Pizzaria Olegário Lourdes,PIZZA,A,Belo Horizonte,Pizzaria,4.5,3053,+55 31 3337-4446,http://pizzariaolegario.com.br/,https://www.instagram.com/pizzariaolegario,ge.mkt@redegourmet.com.br,"Av. Olegário Maciel, 1748 - Lourdes, Belo Horizonte - MG, 30180-111, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Pizzaria%20Oleg%C3%A1rio%20Lourdes&query_place_id=ChIJW64AGWGXpgARsOQRS5wkQjA
VILA ARABE - SAVASSI,,A,Belo Horizonte,Restaurante libanês,4.5,2774,+55 31 3262-1600,http://www.vilaarabe.com.br/,https://www.instagram.com/vilaarabe,contato@vilaarabe.com,"R. Pernambuco, 781 - Savassi, Belo Horizonte - MG, 30130-151, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=VILA%20ARABE%20-%20SAVASSI&query_place_id=ChIJi79vytyZpgARJvHZAh9q9DY
Mustache Pizzaria no Lourdes,PIZZA,A,Belo Horizonte,Pizzaria,4.5,2656,+55 31 3245-7001,https://beacons.ai/mustachehandpizzabh,,,"R. Rio de Janeiro, 1270 - Lourdes, Belo Horizonte - MG, 30160-042, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Mustache%20Pizzaria%20no%20Lourdes&query_place_id=ChIJUaGuE-GZpgARSigq9hINDm8
Pop Kid,,A,Belo Horizonte,Bar,4.7,2599,+55 31 3080-3715,https://popkidbar.com.br/,https://www.instagram.com/popkidbar,,"R. Rio de Janeiro, 661 - Centro, Belo Horizonte - MG, 30160-041, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Pop%20Kid&query_place_id=ChIJnz4fquSZpgAR6Vc8uEQ_xI0
