Maps,Lead Título,Nome da empresa,Nome,Nota,Numero de avaliações,telefone com DDD,site,Instagram,Bairro,Faixa
https://www.google.com/maps/search/?api=1&query=Meatz%20Burger%20-%20Cidade%20Nova%20-%20Hamburgueria&query_place_id=ChIJR0IZDdObpgAR7X7ZL0BJNJo,Meatz Burger - Cidade Nova - Hamburgueria,Meatz Burger - Cidade Nova - Hamburgueria,Meatz Burger - Cidade Nova - Hamburgueria,4.9,5061,+55 31 98403-9989,https://meatzburger.com/unidades/hamburgueria-cidade-nova-bh-mg/,https://www.instagram.com/meatzburger,União,A
https://www.google.com/maps/search/?api=1&query=Eddie%20Fine%20Burgers&query_place_id=ChIJlfq0f9eZpgAR7nWszwwFoKI,Eddie Fine Burgers,Eddie Fine Burgers,Eddie Fine Burgers,4.3,4329,+55 31 3282-4606,http://www.eddieburger.com.br/,,Lourdes,A
https://www.google.com/maps/search/?api=1&query=Meatz%20Burger%20-%20Centro%20Sul%20-%20Hamburgueria&query_place_id=ChIJ5Xn1sn2XpgAR9EjE-hO8480,Meatz Burger - Centro Sul - Hamburgueria,Meatz Burger - Centro Sul - Hamburgueria,Meatz Burger - Centro Sul - Hamburgueria,4.6,3729,+55 31 98358-4780,https://meatzburger.com/unidades/hamburgueria-centro-sul-bh/,https://www.instagram.com/meatzburger,Santo Antônio,A
https://www.google.com/maps/search/?api=1&query=James%20Burger%20-%20Hamb%C3%BArguer%20Artesanal%20na%20Savassi%20%7C%20Delivery%20de%20Hamb%C3%BArguer%20%7C%20Hamburgueria%20Perto%20de%20Voc%C3%AA%20%7C%20Hamburgueria%20em%20BH&query_place_id=ChIJVyv0t9uZpgAR2bSVTuVvOZ0,James Burger - Hambúrguer Artesanal na Savassi | Delivery de Hambúrguer | Hamburgueria Perto de Você | Hamburgueria em BH,James Burger - Hambúrguer Artesanal na Savassi | Delivery de Hambúrguer | Hamburgueria Perto de Você | Hamburgueria em BH,James Burger - Hambúrguer Artesanal na Savassi | Delivery de Hambúrguer | Hamburgueria Perto de Você | Hamburgueria em BH,4.6,3092,+55 31 99299-1800,http://www.jamesburguerbh.com.br/,,Savassi,A
https://www.google.com/maps/search/?api=1&query=The%20Black%20Beef%20-%20Savassi&query_place_id=ChIJz_Kj_9mZpgARD5sJQbKVl7w,The Black Beef - Savassi,The Black Beef - Savassi,The Black Beef - Savassi,4.3,2067,+55 31 3141-5552,https://theblackbeef.com.br/unidades/salvador-shopping-paralela-11-3/,,Savassi,A
https://www.google.com/maps/search/?api=1&query=Wanted%20Hamburgueria%20Artesanal%20-%20Palmares&query_place_id=ChIJybCi-HWQpgAR1iglpYzLbsE,Wanted Hamburgueria Artesanal - Palmares,Wanted Hamburgueria Artesanal - Palmares,Wanted Hamburgueria Artesanal - Palmares,4.6,2066,+55 31 3653-4895,http://www.instagram.com/wantedhamburgueria,https://www.instagram.com/wantedhamburgueria,Palmares,A
https://www.google.com/maps/search/?api=1&query=Foraster%20Burguer&query_place_id=ChIJQ1r1Iy-bpgART0bCgbZHsPk,Foraster Burguer,Foraster Burguer,Foraster Burguer,4.9,1743,+55 31 3146-6776,https://forasterburguer.com.br/,https://www.instagram.com/forasterburguer,Cidade Nova,A
https://www.google.com/maps/search/?api=1&query=Black%20Burger%20Artesanal&query_place_id=ChIJe0dQbWqXpgARRA6bFN9HB7Y,Black Burger Artesanal,Black Burger Artesanal,Black Burger Artesanal,4.5,1589,+55 31 2515-2004,https://instadelivery.com.br/blackburgerartesanal,,Prado,A
https://www.google.com/maps/search/?api=1&query=Villagium%20Burgueria%20Artesanal&query_place_id=ChIJE0NZ9XqapgARxIzc9tkXa8Q,Villagium Burgueria Artesanal,Villagium Burgueria Artesanal,Villagium Burgueria Artesanal,4.6,1273,+55 31 3646-0446,http://www.instagram.com/villagium,https://www.instagram.com/villagium,Renascença,A
https://www.google.com/maps/search/?api=1&query=Tchambows%20Burger&query_place_id=ChIJHXDd6ieXpgARdBvBz_KQEM8,Tchambows Burger,Tchambows Burger,Tchambows Burger,4.6,812,+55 31 3327-0481,,,Jardim Montanhês,A
