Maps,Lead Título,Nome da empresa,Nome,Nota,Numero de avaliações,telefone com DDD,site,Nicho
https://www.google.com/maps/search/?api=1&query=MON%20Marketing%20%7C%20Ag%C3%AAncia%20de%20Marketing%20Digital%20em%20S%C3%A3o%20Paulo%20%E2%80%93%20Estrat%C3%A9gia%2C%20Tr%C3%A1fego%20Pago%20e%20SEO&query_place_id=ChIJASyIn5JZzpQRiuzzx6VWRiA,"MON Marketing | Agência de Marketing Digital em São Paulo – Estratégia, Tráfego Pago e SEO","MON Marketing | Agência de Marketing Digital em São Paulo – Estratégia, Tráfego Pago e SEO","MON Marketing | Agência de Marketing Digital em São Paulo – Estratégia, Tráfego Pago e SEO",5,17,+55 11 5198-0232,https://monmarketing.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=PV%20Digital%20Marketing&query_place_id=ChIJ_0gzk91OlWURYDV9iu8a9CM,PV Digital Marketing,PV Digital Marketing,PV Digital Marketing,5,17,+55 11 91433-1706,https://www.pvdigitalmarketing.com.br/?utm_source=ficha&utm_medium=google&utm_campaign=gbp,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=SinalizeWeb%20Ag%C3%AAncia%20de%20SEO%20e%20Marketing%20Digital&query_place_id=ChIJwytbwrhZzpQRXIjytrXhpoA,SinalizeWeb Agência de SEO e Marketing Digital,SinalizeWeb Agência de SEO e Marketing Digital,SinalizeWeb Agência de SEO e Marketing Digital,4.9,12,+55 11 4965-4440,https://sinalizeweb.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=MARDINI%20AG%C3%8ANCIA%20DIGITAL&query_place_id=ChIJtxbhA3xbzpQRM5rMbEtVh8g,MARDINI AGÊNCIA DIGITAL,MARDINI AGÊNCIA DIGITAL,MARDINI AGÊNCIA DIGITAL,5,134,+55 11 5286-6500,https://mardini.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Onblue%20Digital%20-%20Assessoria%20de%20Marketing%20Digital&query_place_id=ChIJE9mwyHG5yJQRCpQLJFBgu2M,Onblue Digital - Assessoria de Marketing Digital,Onblue Digital - Assessoria de Marketing Digital,Onblue Digital - Assessoria de Marketing Digital,5,14,+55 19 2042-2478,https://onblue.digital/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20Mestre&query_place_id=ChIJ_Uzg3b9ZzpQRnMEKo22cHYU,Agência Mestre,Agência Mestre,Agência Mestre,4.5,70,+55 11 2364-5494,https://www.agenciamestre.com/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20de%20Marketing%20e%20Vendas%20%7C%20WBS%20DIGITAL%20-%20S%C3%A3o%20Paulo%2C%20SP%20-%20Av%20Paulista&query_place_id=ChIJvcxVYghTzpQRBkNREvUySvg,"Agência de Marketing e Vendas | WBS DIGITAL - São Paulo, SP - Av Paulista","Agência de Marketing e Vendas | WBS DIGITAL - São Paulo, SP - Av Paulista","Agência de Marketing e Vendas | WBS DIGITAL - São Paulo, SP - Av Paulista",5,13,+55 11 96447-5573,https://wbsdigitalmarketing.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20Twist&query_place_id=ChIJQVuGVetczpQR9GGQyaqOUSk,Agência Twist,Agência Twist,Agência Twist,4.8,71,+55 11 4225-1225,https://twist.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Proceder%20Marketing%20Digital&query_place_id=ChIJc8mvHqm535QROii_B060WNs,Proceder Marketing Digital,Proceder Marketing Digital,Proceder Marketing Digital,5,11,+55 11 5125-0886,https://www.procedermarketing.com/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Marketing%20Digital%20em%20S%C3%A3o%20Paulo%20%7C%20Sagy%20Marketing%20Digital&query_place_id=ChIJD0tLsMZZzpQR_o_V7zGO7F8,Marketing Digital em São Paulo | Sagy Marketing Digital,Marketing Digital em São Paulo | Sagy Marketing Digital,Marketing Digital em São Paulo | Sagy Marketing Digital,5,12,+55 11 98860-9134,https://www.sagymarketing.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Digitall%20Evolution%20-%20Marketing%20Digital&query_place_id=ChIJX__F3k5ZzpQRY6DHJV-O-o8,Digitall Evolution - Marketing Digital,Digitall Evolution - Marketing Digital,Digitall Evolution - Marketing Digital,4.8,149,+55 11 94493-1956,https://www.digitallevolution.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Remarke%20Digital%20-%20Marketing%20e%20Consultoria%20SP&query_place_id=ChIJjbqkgRFFdWMRdkO-AjNQlmM,Remarke Digital - Marketing e Consultoria SP,Remarke Digital - Marketing e Consultoria SP,Remarke Digital - Marketing e Consultoria SP,5,17,+55 11 97765-9984,https://agencianr1.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Agencia%20Tr%C3%A1fego%20Pago%20-%20Neg%C3%B3cios%20Locais&query_place_id=ChIJe4RtUgBbzpQR7Zi0hsFK_KY,Agencia Tráfego Pago - Negócios Locais,Agencia Tráfego Pago - Negócios Locais,Agencia Tráfego Pago - Negócios Locais,,0,,,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Agencia%20nextWEB%20-%20Marketing%20Digital&query_place_id=ChIJX2J2EoNhzpQRyxZSW_erfKg,Agencia nextWEB - Marketing Digital,Agencia nextWEB - Marketing Digital,Agencia nextWEB - Marketing Digital,4.8,19,+55 11 95849-7212,http://nextwebcompany.com/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=CMLO%26CO%20-%20Ag%C3%AAncia%20de%20Marketing%20e%20publicidade&query_place_id=ChIJhZh_q2VZzpQRMnYVE3OuZso,CMLO&CO - Agência de Marketing e publicidade,CMLO&CO - Agência de Marketing e publicidade,CMLO&CO - Agência de Marketing e publicidade,5,69,+55 800 878 2392,https://www.cmlo.co/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Wieden%2BKennedy%20S%C3%A3o%20Paulo&query_place_id=ChIJhcuY3rhXzpQRwzdwkqrpzC8,Wieden+Kennedy São Paulo,Wieden+Kennedy São Paulo,Wieden+Kennedy São Paulo,4.6,99,+55 11 3937-9400,http://wksaopaulo.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Gest%C3%A3o%20Marketing&query_place_id=ChIJXbh8DPdZzpQRmLazJJaFlIM,Gestão Marketing,Gestão Marketing,Gestão Marketing,5,29,+55 11 93453-0769,http://marketingemgestao.com.br/gestor-de-trafego,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20Trii&query_place_id=ChIJpSrs2b5ZzpQRpFW8-olKMig,Agência Trii,Agência Trii,Agência Trii,4.9,83,+55 11 3164-4829,http://trii.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=RF%20Digital%20-%20Ag%C3%AAncia%20de%20Marketing%20Digital&query_place_id=ChIJszgZzktbzpQRjqB0sDr34Es,RF Digital - Agência de Marketing Digital,RF Digital - Agência de Marketing Digital,RF Digital - Agência de Marketing Digital,5,24,+55 11 96451-0628,http://www.rfcdigital.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=R%2FGA&query_place_id=ChIJRU7JhMJZzpQRyULqMZSsk4E,R/GA,R/GA,R/GA,4.7,64,+55 11 3958-0900,http://www.rga.com/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20de%20Marketing%20Digital%20%7C%20Ag%C3%AAncia%20de%20Tr%C3%A1fego%20Pago%20I%20Gest%C3%A3o%20de%20Tr%C3%A1fego%20Pago%20I%20Cria%C3%A7%C3%A3o%20de%20Websites%20I%20Redes%20Sociais&query_place_id=ChIJZ8NPdENZzpQRgT30659Yyl0,Agência de Marketing Digital | Agência de Tráfego Pago I Gestão de Tráfego Pago I Criação de Websites I Redes Sociais,Agência de Marketing Digital | Agência de Tráfego Pago I Gestão de Tráfego Pago I Criação de Websites I Redes Sociais,Agência de Marketing Digital | Agência de Tráfego Pago I Gestão de Tráfego Pago I Criação de Websites I Redes Sociais,5,29,+55 11 91530-2722,https://agenciadetrafegopago.com.br/agencia-de-trafego-pago-na-avenida-paulista/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=35%20Publicidade&query_place_id=ChIJ09LyqPNXzpQR4BY9XxZVxD4,35 Publicidade,35 Publicidade,35 Publicidade,4.6,19,+55 11 5555-3535,http://35.agency/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ad%20Fluxo%20-%20Agencia%20Tr%C3%A1fego%20Pago&query_place_id=ChIJvwgcTABZzpQRXI_wpFwBPPU,Ad Fluxo - Agencia Tráfego Pago,Ad Fluxo - Agencia Tráfego Pago,Ad Fluxo - Agencia Tráfego Pago,5,1,,http://www.agenciaaltz.net.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=VML&query_place_id=ChIJF5OvF3ZXzpQRfLIAqGibTYw,VML,VML,VML,4.6,197,+55 11 3026-4100,https://www.vmlyr.com/pt-br/brazil-vml,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20Levicius&query_place_id=ChIJvdDWen1ezpQRLhFwny9DY3U,Agência Levicius,Agência Levicius,Agência Levicius,5,62,+55 11 97956-8661,http://www.levicius.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=W5%20Publicidade&query_place_id=ChIJzWvs9nJczpQRDB9OItE8pS8,W5 Publicidade,W5 Publicidade,W5 Publicidade,4.5,43,+55 11 2341-2277,http://www.w5.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Audaz&query_place_id=ChIJxQ8B9NKbyJQRYjPjvh_CKpY,Audaz,Audaz,Audaz,4.9,54,+55 11 4506-3166,https://www.audaz.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Fbiz&query_place_id=ChIJ31xcs1hXzpQRy4sfKWgGTJo,Fbiz,Fbiz,Fbiz,4.7,212,+55 11 3097-1000,http://www.fbiz.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20Tupiniquim&query_place_id=ChIJ2Xjb6a37zpQRrKykU7fe8fU,Agência Tupiniquim,Agência Tupiniquim,Agência Tupiniquim,4.6,29,+55 11 4168-7152,https://agenciatupiniquim.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20Publinog&query_place_id=ChIJZ57y_yL5zpQRmBSsTpACbe8,Agência Publinog,Agência Publinog,Agência Publinog,5,130,+55 11 98027-7099,http://www.publinog.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Publicidade%20UP&query_place_id=ChIJFwOY759pzpQRU4FiwPVHPhM,Publicidade UP,Publicidade UP,Publicidade UP,4.9,38,+55 11 2110-5799,https://www.publicidadeup.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Trafego%20Pago%20-%20Negocios%20locais&query_place_id=ChIJB_WPUQD3zpQRPhla58PUBXI,Trafego Pago - Negocios locais,Trafego Pago - Negocios locais,Trafego Pago - Negocios locais,5,1,,,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Apuppa%20Publicidade%20-%20Ag%C3%AAncia%20de%20Marketing&query_place_id=ChIJbUAMmQ0DzpQRse_VyP7UZ1c,Apuppa Publicidade - Agência de Marketing,Apuppa Publicidade - Agência de Marketing,Apuppa Publicidade - Agência de Marketing,5,213,+55 11 94082-3951,https://apuppa.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20de%20tr%C3%A1fego%20pago%20ADJ&query_place_id=ChIJBYVmfLeMr2kRhvuNksOmuMs,Agência de tráfego pago ADJ,Agência de tráfego pago ADJ,Agência de tráfego pago ADJ,5,17,+55 11 97694-7767,https://beacons.ai/jeffersonamigodotrafego,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20Near%20%7C%20Trafego%20Pago&query_place_id=ChIJURzYD1pUoCkRJyrniGEwqYE,Agência Near | Trafego Pago,Agência Near | Trafego Pago,Agência Near | Trafego Pago,5,22,+55 11 91963-2494,https://agencianear.com.br/one-page/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20de%20Tr%C3%A1fego%20Pago&query_place_id=ChIJD94SP9NZzpQR1KCB78ZagIo,Agência de Tráfego Pago,Agência de Tráfego Pago,Agência de Tráfego Pago,1,1,+55 11 98785-5322,,Agência de Marketing
