#,Empresa,Bairro,Categoria,Porte estimado,Rating,Reviews,Telefone,Site,Consumo estimado (MWh/ano),Conta estimada (R$ mil/mês),Dor principal,Lógica de abordagem,Endereço
1,Supermercados BH,Flávio Marques Lisboa,Supermercado de descontos,Rede Grande,4.3,2638,+55 31 3387-3600,http://www.supermercadosbh.com.br/,60-180,60-180,Operação multi-loja com conta de luz alta em cada unidade — payback agregado é o argumento.,"Economia agregada entre lojas (payback consolidado) · Autonomia se a luz cair em uma das unidades (não para a operação) · Sustentabilidade como narrativa de rede (selo verde nas embalagens, comunicação em loja).","R. Dr. Cristiano Rezende, 1953 - Flávio Marques Lisboa, Belo Horizonte - MG, 30622-020, Brasil"
2,"Apoio Mineiro Tirol: Atacado, Varejo, Entrega, Belo Horizonte, MG",Tirol,Supermercado,Atacarejo Grande,4.1,8625,+55 31 3359-3282,https://www.apoioentrega.com/,250-800,250-800,Margem apertada em atacarejo — energia é um dos maiores custos fixos depois de mercadoria.,"Economia de energia em escala (corte direto no maior fixo do atacarejo) · Autonomia se a CEMIG cair (proteção da câmara fria, evita perda de mercadoria) · Sustentabilidade como diferencial pra negociar com fornecedores e marca.","Rua Antônio Eustáquio Piazza, 2725 - Tirol, Belo Horizonte - MG, 30662-050, Brasil"
3,SUPERMERCADOS BH,Urucuia,Supermercado,Rede Grande,4.2,1787,+55 31 3336-5099,http://www.supermercadosbh.com.br/,60-180,60-180,Operação multi-loja com conta de luz alta em cada unidade — payback agregado é o argumento.,"Economia agregada entre lojas (payback consolidado) · Autonomia se a luz cair em uma das unidades (não para a operação) · Sustentabilidade como narrativa de rede (selo verde nas embalagens, comunicação em loja).","R. Urucanga, 375 - Urucuia, Belo Horizonte - MG, 30626-720, Brasil"
4,SUPERMERCADOS BH,Santa Helena,Supermercado de descontos,Rede Grande,4.2,5667,+55 31 98313-7197,http://www.supermercadosbh.com.br/,60-180,60-180,Operação multi-loja com conta de luz alta em cada unidade — payback agregado é o argumento.,"Economia agregada entre lojas (payback consolidado) · Autonomia se a luz cair em uma das unidades (não para a operação) · Sustentabilidade como narrativa de rede (selo verde nas embalagens, comunicação em loja).","Av. Waldyr Soeiro Emrich, 3426 - Santa Helena, Belo Horizonte - MG, 30644-000, Brasil"
5,Epa Supermercados,Araguaia,Supermercado,Rede Grande,4.4,3547,+55 31 3208-2530,http://www.epa.com.br/,60-180,60-180,Operação multi-loja com conta de luz alta em cada unidade — payback agregado é o argumento.,"Economia agregada entre lojas (payback consolidado) · Autonomia se a luz cair em uma das unidades (não para a operação) · Sustentabilidade como narrativa de rede (selo verde nas embalagens, comunicação em loja).","Av. Menelick de Carvalho, 245 - Araguaia, Belo Horizonte - MG, 30624-000, Brasil"
6,Epa Supermercados,Marilândia Jatobá (Barreiro),Supermercado,Rede Grande,4.2,2778,-,http://www.epa.com.br/,60-180,60-180,Operação multi-loja com conta de luz alta em cada unidade — payback agregado é o argumento.,"Economia agregada entre lojas (payback consolidado) · Autonomia se a luz cair em uma das unidades (não para a operação) · Sustentabilidade como narrativa de rede (selo verde nas embalagens, comunicação em loja).","Av. Expedito de Faria Taváres, 32 - Marilândia Jatobá (Barreiro), Belo Horizonte - MG, 30692-675, Brasil"
7,Epa Supermercados,Barreiro,Supermercado,Rede Grande,4.1,2034,+55 31 3208-2560,http://www.epa.com.br/,60-180,60-180,Operação multi-loja com conta de luz alta em cada unidade — payback agregado é o argumento.,"Economia agregada entre lojas (payback consolidado) · Autonomia se a luz cair em uma das unidades (não para a operação) · Sustentabilidade como narrativa de rede (selo verde nas embalagens, comunicação em loja).","R. Caetano Pirri, 110 - Barreiro, Belo Horizonte - MG, 30620-070, Brasil"
8,Supermercados BH,Miramar (Barreiro),Supermercado,Rede Grande,4.2,3622,+55 31 3321-1429,http://www.supermercadosbh.com.br/,60-180,60-180,Operação multi-loja com conta de luz alta em cada unidade — payback agregado é o argumento.,"Economia agregada entre lojas (payback consolidado) · Autonomia se a luz cair em uma das unidades (não para a operação) · Sustentabilidade como narrativa de rede (selo verde nas embalagens, comunicação em loja).","Av. Olinto Meireles, 2734 - Miramar (Barreiro), Belo Horizonte - MG, 30620-330, Brasil"
9,Mineirão Atacado e Varejo,Petrópolis,Supermercado,Atacarejo,3.9,1960,-,-,80-200,80-200,Margem apertada em atacarejo — energia é um dos maiores custos fixos depois de mercadoria.,"Economia de energia em escala (corte direto no maior fixo do atacarejo) · Autonomia se a CEMIG cair (proteção da câmara fria, evita perda de mercadoria) · Sustentabilidade como diferencial pra negociar com fornecedores e marca.","Av. Senador Levindo Coelho, 3321 - Petrópolis, Belo Horizonte - MG, 30664-247, Brasil"
10,SUPERMERCADOS BH,Cardoso,Supermercado de descontos,Rede Grande,4,1799,+55 31 3383-7935,http://www.supermercadosbh.com.br/,60-180,60-180,Operação multi-loja com conta de luz alta em cada unidade — payback agregado é o argumento.,"Economia agregada entre lojas (payback consolidado) · Autonomia se a luz cair em uma das unidades (não para a operação) · Sustentabilidade como narrativa de rede (selo verde nas embalagens, comunicação em loja).","Av. Manoel Salles Barbosa, 455 - Cardoso, Belo Horizonte - MG, 30626-400, Brasil"
